Test Code,Test Name,"MRP (in
INR)",Methodology,Specimen Type,Specimen Remarks,Container,Temp.,Frequency,TAT,,,,,,,,,,,,,,
APC355,"CARBAMAZEPINE LEVELS (CBZ)
- SERUM",900,SPECTROPHOTOMETERY,SERUM,"2ML SERUM IN GEL TUBE (LIPEMIC & HAEMOLYSED SAMPLE SHOULD BE AVOIDED) FOR THERAPEUTIC LEVELS SAMPLE  SHOULD BE COLLECTED JUST BEFORE ORAL DOSE. FOR TOXIC LEVELS COLLECTION SHOULD BE 4-8 HOURS POST DOSE.USUAL SAMPLING TIME VARIES  DEPENDENT UPON DESIRED MEASUREMENT OF PEAK OR TROUGH VALUE. (CLINICAL HISTORY, AGE & GENDER DETAILS ARE MANDATORY) .",YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC356,"CARCINO EMBRYONIC ANTIGEN (CEA), FLUID",770,CLIA,FLUID,3ML BODY FLUID IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC357,"CARCINO EMBRYONIC ANTIGEN (CEA), SERUM",770,CLIA,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC358,"CARDIAC ENZYMES (CPK, CK- MB, LDH, SGOT)",1550,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC359,CARDIO BIOMARKERS/CABG,370,CMIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC360,CARNITINE,4500,LC-MS/MS,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,5 DAYS,,,,,,,,,,,,,,
APC361,CATECHOLAMINES - 24 HRS URINE,4800,LC-MS/MS,URINE,"10 ML ALIQUOT OF 24 HOUR URINE URINE IN LEAKPROOF CONTAINER. . PATIENT SHOULD STRICTLY AVOID ALPHA-ONE BLOCKERS, AMINOPHYLLINE, AMPHETAMINES, AMPICILLIN, BETA-BLOCKERS, EPHEDRINE, IMIPRAMINE, METHYLDOPA, MAO INHIBITORS, NICOTINE, PHENACETIN, PHENOTHIAZINE, THEOPHYLLINE, VASODILATORS, ASPIRIN, PAS, ALPHA-2 AGONISTS, BROMOCRIPTINE, CALCIUM CHANNEL BLOCKERS ( LONG TERM USE), CLOFIBRATE, PROPRANOLOL, PENICILLIN, RESERPINE, THYROXINE, ALPHA-METHYLDOPA, ISOPROTERENOL, LABETALOL, MANDELAMINE, PARACETAMOL, CIMETIDINE, METOCLOPRAMIDE, VIGOROUS EXERCISE, ALCOHOLIC BEVERAGES, TEA/COFFEE AND TOBACCO AT LEAST 72 HOURS BEFORE AND DURING SPECIMEN COLLECTION.",STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"TUES, FRI",5 DAYS,,,,,,,,,,,,,,
APC362,CATECHOLAMINES - PLASMA,7600,HPLC,WHOLE BLOOD EDTA,"8 ML (4 ML MIN.) PLASMA FROM 4 PRE-CHILLED GREEN TOP (SODIUM HEPARIN) / LAVENDER TOP (EDTA) TUBES. ADHERE TO REQUESTED SPECIMEN VOLUME. DRAW SPECIMEN AS FOLLOWS: PATIENT SHOULD BE AT REST FOR 30 MINUTES AFTER INSERTION OF AN IV CANNULA. COLLECT SPECIMEN WITH PATIENT SUPINE. IMMERSE SPECIMEN IMMEDIATELY IN ICE WATER. SEPARATE PLASMA WITHIN 10 MINUTES, PATIENT SHOULD STRICTLY AVOID DRUGS LIKE ALDOMET (ALPHA METHYLDOPA), LABETALOL, ISOPROTERENOL, ISOETHARINE, ALPHA- ONE BLOCKERS, AMINOPHYLLINE, AMPHETAMINES, AMPICILLIN, BETA-BLOCKERS, EPHEDRINE, IMIPRAMINE, NICOTINE, PHENACETIN, THEOPHYLLINE, PHENOTHIAZINE, VASODILATORS, ASPIRIN, PAS, ALPHA-2 AGONISTS, BROMOCRIPTINE, CALCIUM CHANNEL BLOCKERS (LONG TERM USE), L- DOPA, CIMETIDINE, CLOFIBRATE, MAO INHIBITORS, PROPRANOLOL, PENICILLIN, RESERPINE, THYROXINE.ATLEAST 72 HOURS BEFORE AND DURING SPECIMEN COLLECTION.",LAVENDER TOP EDTA VACUTAINER,FROZEN (-20 DEGREE CELSIUS),MON,8 DAYS,,,,,,,,,,,,,,
APC363,"C-DIFFICILE TOXIN, A & B STOOL",3250,ICT,STOOL,2 GM STOOL IN STERILE CONTAINER,STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC364,CEBPA MUTATION,7500,PCR,WHOLE BLOOD EDTA,4 ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,13 DAYS,,,,,,,,,,,,,,
APC365,CELL COUNT- BODY FLUID,180,MICROSCOPY,FLUID,3ML BODY FLUID IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC366,CENTROMERE IGG ANTIBODY,2000,ENZYME IMMUNOASSAY,SERUM,2 ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON, THURS",4 DAYS,,,,,,,,,,,,,,
APC367,CERULOPLASMIN - SERUM,1200,NEPHELOMETRY,SERUM,"2 ML SERUM FROM 1 SST. SHIP REFRIGERATED OR
FROZEN. OVERNIGHT FASTING IS PREFERRED.","YELLOW TOP GEL
TUBE","REFRIGERATED/FROZ
EN",DAILY,3 DAYS,,,,,,,,,,,,,,
APC368,CHIKUNGUNYA IGM,970,IMMUNO CHROMATOGRAPHY,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC369,CHLAMYDIA DNA DETECTOR,4000,POLYMERASE CHAIN REACTION,URINE / GENITAL SWAB/URETHRAL SWAB/EYE SWAB,10 ML URINE IN STERILE CONTAINER / 1 SWAB IN STERILE SCREW CAP CONTAINER,"LEAKPROOF CONTAINER / SCREW CAP
CONTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),SAT,5 DAYS,,,,,,,,,,,,,,
APC370,CHLAMYDIA IGA,2200,EIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,FROZEN (-20 DEGREE CELSIUS),"MON, WED, FRI",8 DAYS,,,,,,,,,,,,,,
APC371,CHLAMYDIA IGG,2200,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC372,CHLAMYDIA IGM,2200,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC373,CHLAMYDIA PCR URINE,4200,POLYMERASE CHAIN REACTION,URINE/ SWABS,"10 ML (5 ML MIN.) URINE IN A STERILE SCREW CAPPED CONTAINER OR GENITAL / CONJUNCTIVAL SWABS IN NORMAL SALINE. SHIP REFRIGERATED OR
FROZEN.",STERILE SCREW CAPPED CONTAINER,REFRIGERATED/FROZ EN,DAILY,5 DAYS,,,,,,,,,,,,,,
APC374,CHLAMYDIA PNEUMONIAE - IGA,2500,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC375,CHLAMYDIA PNEUMONIAE - IGG ANTIBODIES,2500,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC376,CHLAMYDIA PNEUMONIAE - IGM,2500,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC377,CHLAMYDIA PNEUMONIAE ANTIBODIES,5000,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC378,CHLAMYDIA SPECIATION,4700,PCR SEQUENCING,"URINE / GENITAL/ URETHRAL SWAB/EYE SWAB
/FLUID",10.0ML(5.0) ML  OF URINE / 1 GENITAL SWAB/  1 URETHRAL SWAB / 1 EYE SWAB / 2 ML OF FLUID,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),SAT,8 DAYS,,,,,,,,,,,,,,
APC379,CHLAMYDIA TRACHOMATIS - IGA,1700,EIA,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,FROZEN (-20 DEGREE CELSIUS),"MON, WED, FRI",8 DAYS,,,,,,,,,,,,,,
APC380,CHLAMYDIA TRACHOMATIS - IGG,1400,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC381,CHLAMYDIA TRACHOMATIS - IGM,1400,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC382,CHLAMYDIA TRACHOMATIS ANTIBODIES,4500,ENZYME LINKED IMMNUNOSORBENT ASSAY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),MON,4 DAYS,,,,,,,,,,,,,,
APC383,CHLAMYDIA TRACHOMATIS PCR,4400,POLYMERASE CHAIN REACTION,URINE / GENITAL SWAB/URETHRAL SWAB/EYE SWAB,"10 ML (5 ML MIN.) URINE IN A STERILE SCREW CAPPED CONTAINER OR GENITAL / CONJUNCTIVAL SWABS IN NORMAL SALINE. SHIP REFRIGERATED OR
FROZEN.",STERILE SCREW CAPPED CONTAINER,REFRIGERATED/FROZ EN,SAT,4 DAYS,,,,,,,,,,,,,,
APC384,"CHLAMYDIA TRACOMATIS AND NEISSERIA GONORRHOEAE, PCR (QUALITATIVE)",5500,REAL TIME PCR,URINE/ VAGINAL SWAB/ CERVICAL SWAB,15 ML (8 ML MIN.) PREFERABLY FIRST MORNING URINE IN A STERILE SCREW CAPPED CONTAINER OR VAGINAL / ENDOCERVICAL / CONJUCTIVAL SWAB IN NORMAL SALINE. SHIP REFRIGERATED OR FROZEN.,STERILE SCREW CAPPED CONTAINER,REFRIGERATED/FROZ EN,DAILY,5 DAYS,,,,,,,,,,,,,,
APC385,CHLORIDE - 24 HR URINE,250,SPECTROPHOTOMETRY,URINE,10 ML ALIQUOT OF 24 HOUR URINE URINE IN LEAKPROOF CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC386,CHLORIDE - FLUID,220,ISE,FLUID,3ML  BODY FLUID IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC387,CHLORIDE - SERUM,220,ISE,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC388,CHLORIDE - SPOT URINE,250,ISE,URINE,10 ML URINE IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC389,CHOLESTEROL - FLUID,220,SPECTROPHOTOMETRY,FLUID,3ML BODY FLUID IN LEAKPROOF CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC390,CHOLESTEROL - SERUM,220,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC391,CHOLINESTERASE,490,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC392,CHROMIUM  - URINE RANDOM,3200,GFAAS WITH ZEEMAN CORRECTION,URINE,"10-20 ML (5 ML)  SPOT  URINE IN METAL FREE SCINTILLATION VIAL (NO PRESERVATIVE) OR STERILE PLASTIC URINE CONTAINER WITH GREEN CAP (NO PRESERVATIVE) BOTH VACUTAINER(10-20 ML) VACCUTAINER COLLECTION WILL NOT BE ACCEPTED. SHARING SAMPLE WITH OTHER SECTION NOT
ACCEPTED",STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),FRI,6 DAYS,,,,,,,,,,,,,,
APC393,CHROMIUM - SERUM,3200,GFAAS WITH ZEEMAN CORRECTION,SERUM,3ML SERUM IN RED TOP VACCUTAINER,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),FRI,6 DAYS,,,,,,,,,,,,,,
APC394,CHROMIUM - WHOLE BLOOD,3200,GFAAS WITH ZEEMAN CORRECTION,WHOLE BLOOD IN NA HEPARIN,5.0 ML (3.0 ML)  COLLECT WHOLE BLOOD IN BD SODIUM HEPARIN,GREEN TOP SODIUM HEPARIN VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),FRI,6 DAYS,,,,,,,,,,,,,,
APC395,CHROMOGRANIN - A,7500,TRACE,WHOLE BLOOD EDTA,"2 ML (0.5 ML MIN.) PLASMA FROM 1 LAVENDER TOP (EDTA) TUBE. SHIP FROZEN. DO NOT THAW. PROTON PUMP INHIBITOR MEDICATIONS SHOULD BE DISCONTINUED FOR AT LEAST 2 WEEKS PRIOR TO
SAMPLE COLLECTION.",LAVENDER TOP EDTA VACUTAINER,FROZEN (-20 DEGREE CELSIUS),"MON, THURS",4 DAYS,,,,,,,,,,,,,,
APC396,CHROMOSOMAL ANALYSIS - ACUTE PROMYELOCYTIC LEUKEMIA (APML),4800,KARYOTYPING,BONE MARROW/ WHOLE BLOOD IN NA HEPARIN,BM ASPIRATE-HEPARIN [PERIPHERAL BLOOD IN CASE OF BLASTS >70%]+ CLINICAL HISTORY+LAST BM/PB SMEAR REPORT,GREEN TOP SODIUM HEPARIN VACUTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,15 DAYS,,,,,,,,,,,,,,
APC397,CHROMOSOMAL ANALYSIS - SKIN BIOPSY,9400,KARYOTYPING,SAMPLE IN NORMAL SALINE,6-8MM DIAMETER OF SKIN,SAMPLE IN NORMAL SALINE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,26 DAYS,,,,,,,,,,,,,,
APC398,CHROMOSOMAL ANALYSIS HEMATOLOGIC DISORDERS (LEUKEMIC BLOOD),3700,KARYOTYPING,WHOLE BLOOD IN NA HEPARIN,4ML WHOLE BLOOD IN SODIUM HEPARIN,GREEN TOP SODIUM HEPARIN VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,16 DAYS,,,,,,,,,,,,,,
APC399,CHROMOSOMAL ANALYSIS MICRODELETION - HRB,3700,KARYOTYPING - HIGH RESOLUTION,WHOLE BLOOD IN NA HEPARIN,4ML WHOLE BLOOD IN SODIUM HEPARIN,GREEN TOP SODIUM HEPARIN VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,16 DAYS,,,,,,,,,,,,,,
APC400,CHROMOSOMAL MICROARRAY (CMA),15000,MICROARRAY,AMNIOTIC FLUID / CVS IN STERILE SALINE/ WHOLE BLOOD EDTA,"10ML AMNIOTIC FLUID / 5 ML CVS IN STERILE SALINE/
5ML EDTA WHOLE BLOOD  + CLINICAL HISTORY",STERILE CONTAINER / LAVENDER TOP EDTA CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"SAT, THURS",18 DAYS,,,,,,,,,,,,,,
APC401,CHROMOSOMAL MICROARRAY (POC),15000,MICROARRAY,TISSUE,5 MG (2 MG MIN.) CURRETTED TISSUE IN NORMAL SALINE,STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,13 DAYS,,,,,,,,,,,,,,
APC402,CHROMOSOME ANALYSIS - BLOOD,3500,KARYOTYPING,WHOLE BLOOD IN NA HEPARIN,3ML WHOLE BLOOD IN SODIUM HEPARIN,GREEN TOP SODIUM HEPARIN VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,TUE, WED,THU,F RI,SAT",16 DAYS,,,,,,,,,,,,,,
APC403,CHROMOSOME ANALYSIS - BONE MARROW,3700,KARYOTYPING,BONE MARROW IN NA HEPARIN,2-3ML BONE MARROW IN SODIUM HEPARIN,GREEN TOP SODIUM HEPARIN VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,TUE, WED,THU,F RI,SAT",16 DAYS,,,,,,,,,,,,,,
APC404,"CHROMOSOME ANALYSIS (HIGH RESOLUTION), PERIPHERAL BLOOD",3700,KARYOTYPING,WHOLE BLOOD IN NA HEPARIN,3ML WHOLE BLOOD IN SODIUM HEPARIN,GREEN TOP SODIUM HEPARIN VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,TUE, WED,THU,F RI,SAT",16 DAYS,,,,,,,,,,,,,,
APC405,CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) PANEL (BY FISH),10000,FISH,BONE MARROW IN NA HEPARIN,3 ML BONE MARROW IN SODIUM HEPARIN VACUTAINER,GREEN TOP SODIUM HEPARIN VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,17 DAYS,,,,,,,,,,,,,,
APC406,CHRONIC LYMPHO- PROLIFERATIVE DISORDER PANEL (WITH INCLUSION OF CD200),14000,FLOW CYTOMETRY,"WHOLE BLOOD
EDTA OR HEPARIN
/ BONE MARROW IN EDTA OR HEPARIN / FLUID IN EDTA OR HEPARIN/FLUID SMEARS/ WHOLE BLOOD/ BONE MARROW",3 ML BM / WB- EDTA | BM  / WB- HEPARIN | FLUID- EDTA I FLUID-HEPARIN I BM / WB /3-4 FLUIDS SMEARS + CLINICAL HISTORY,LAVENDER TOP EDTA VACUTAINER/GRE EN TOP SODIUM HEAPARIN/ STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC407,CITRATE 24 HOURS - URINE,990,SPECTROPHOTOMETRY,URINE,10 ML ALIQUOT OF 24 HOUR URINE URINE IN LEAKPROOF CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,3 DAYS,,,,,,,,,,,,,,
APC408,CK CREATINE KINASE - SERUM (CPK),420,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC409,CK- MB (SERUM),660,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC410,CLINICAL EXOME SEQUENCING,25000,NGS,WHOLE BLOOD EDTA,4 ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,36 DAYS,,,,,,,,,,,,,,
APC411,CLL PANEL BY FLOW CYTOMETRY,11500,FLOW CYTOMETRY,WHOLE BLOOD EDTA / HEPARANIZED WHOLE BLOOD/BONE MARROW,"3 ML (2 ML MIN.) WHOLE BLOOD EACH IN 1 LAVENDER TOP (EDTA) TUBE AND 1 GREEN TOP (SODIUM HEPARIN) TUBE OR 2 ML (1 ML MIN.) BONE MARROW IN 1 GREEN TOP (SODIUM HEPARIN) TUBE AND ASPIRATE SMEAR. SHIP IMMEDIATELY AT
18–22°C. DO NOT REFRIGERATE OR FREEZE. CLINICAL
HISTORY IS MANDATORY.","LAVENDER TOP EDTA VACUTAINER
/GREEN TOP SODIUM HEPARIN",AMBIENT (15-25 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC412,"CMV (CYTOMEGALOVIRUS) AVIDITY, IGG",750,CHEMILUMINESCENT IMMUNOASSAY (CLIA),SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC413,CMV IGG,600,ELFA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC414,CMV IGG/IGM,1100,CLIA,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC415,CMV IGM,600,ELFA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC416,CMV PCR QUALITATIVE,3850,RT PCR,BODY FLUID / WHOLE BLOOD EDTA / TISSUE IN NORMAL SALINE,"3 ML OF FLUID / WHOLE BLOOD IN EDTA VACUTAINER
/ TISSUE IN NORMAL SALINE",LAVENDER TOP EDTA VACUTAINER / STERILE SCREW CAP CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"TUE, THURS, SAT",5 DAYS,,,,,,,,,,,,,,
APC417,CMV QUANTITATIVE (VIRAL LOAD) - REAL TIME PCR,8800,RT PCR,WHOLE BLOOD EDTA,"2 ML (1 ML MIN.) PLASMA FROM 1 LAVENDER TOP ( EDTA) TUBE. SEPARATE PLASMA ASEPTICALLY WITHIN 2 HOURS OF COLLECTION. SHIP REFRIGERATED OR FROZEN.12 HOURS OVERNIGHT FASTING IS
RECOMMENDED..",LAVENDER TOP EDTA VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC418,COLD AGGLUTININS,660,ECLIA,WHOLE BLOOD EDTA,2 ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC419,COLD ANTIBODY,890,ECLIA,WHOLE BLOOD EDTA,2ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP
EDTA VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC420,COMPLEMENT LEVEL - C3,720,TURBIDOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC421,COMPLEMENT LEVEL - C4,720,TURBIDOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC422,COMPLEMENT PANEL - C3 AND C4,1400,TURBIDOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC423,COMPLETE BLOOD COUNT (CBC),380,SPECTROPHOTOMETRY/ELECTRIC PULSE/ELECTRIC IMPEDENCE/ CALCULATED,WHOLE BLOOD EDTA,3ML WHOLE BLOOD IN EDTA VACUTAINER,LAVENDER TOP EDTA VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC424,COMPLETE URINE EXAMINATION (CUE),270,AUTOMATED / DIP STICK,URINE,5ML URINE IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC425,COOMBS TEST (DIRECT AND INDIRECT),1150,TUBE AGGLUTINATION METHOD,WHOLE BLOOD EDTA,2 ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC426,COOMBS TEST (DIRECT),600,TUBE AGGLUTINATION METHOD,WHOLE BLOOD EDTA,3 ML WHOLE BLOOD IN EDTA VACUTAINER,"LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC427,COOMBS TEST (INDIRECT),600,TUBE AGGLUTINATION METHOD,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC428,COPPER - 24 HRS URINE,1800,ICPMS,URINE,"10-20 ML (5 ML)  24 HR URINE IN METAL FREE JERRY CAN VACUTAINER(NO PRESERVATIVE).  24 HRS VOLUME SHOULD BE COMPULSORILY SPECIFIED . FIRST SHAKE THE CAN AND TAKE THE 10-20 ML ALIQUOT IN METAL FREE SCINTILLATION VIAL  OR STERILE PLASTIC URINE CONTAINER WITH GREEN CAP VACUTAINER(10-20 ML)  VACCUTAINER COLLECTION
WILL NOT BE ACCEPTED.",STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"SAT, TUE, THURS",5 DAYS,,,,,,,,,,,,,,
APC429,COPPER - SERUM,1500,ICPMS,SERUM,"2ML SERUM IN RED VACUTAINER. AGE + SEX MANDATORY. SHARING SAMPLE WITH OTHER
SECTION NOT ACCEPTED",RED CAP VACUTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"SAT, TUE, THURS",4 DAYS,,,,,,,,,,,,,,
APC430,COPPER - URINE RANDOM,2000,ICPMS,URINE,10ML URINE IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
