Test Code,Test Name,"MRP (in
INR)",Methodology,Specimen Type,Specimen Remarks,Container,Temp.,Frequency,TAT,,,,,,,,,,,,,,
APC33,ADRENOCORTICOTROPIC HORMONE (ACTH) - PLASMA,2000,CHEMILUMINESCENCE,WHOLE BLOOD EDTA,"2.0 ML (0.5 ML) PLASMA-EDTA ( COLLECT BLOOD INTO ICED EDTA TUBES, NOTING THE TIME OF
COLLECTION. THE TUBES SHOULD BE IMMERSED IN AN ICE BATH FOLLOWING COLLECTION. FREEZE THE SPECIMEN IMMEDIATELY AFTER SEPARATION. SPECIMEN COLLECTED BETWEEN 6-10 AM IS
DESIRABLE) + CLINICAL HISTORY",LAVENDER TOP EDTA VACUTAINER,FROZEN (-20 DEGREE CELSIUS),"MON, WED",4 DAYS,,,,,,,,,,,,,,
APC34,ADRENOCORTICOTROPIC HORMONE (ACTH) STIMULATION TEST - 1 HOUR,2600,ELECTROCHEMILUMINESCENCE,SERUM,"2ML 250UG SYNACTHEN IM/IV 3 SERUM SAMPLES COLLECTED 1/2 HR. APART BASAL (BEFORE DRUG) , 30MIN, 60MIN  + CLINICAL HISTORY. SERUM [SAMPLES SHOULD NOT BE TAKEN FROM PATIENTS RECEIVING THERAPY WITH HIGH BIOTIN DOSES (I.E. > 5 MG/DAY) UNTIL AT LEAST 8 HOURS
FOLLOWING THE LAST BIOTIN ADMINISTRATION]",YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,3 DAYS,,,,,,,,,,,,,,
APC35,AEROBIC SUSCEPTIBILITY GRAM NEGATIVE ORGANISM,1500,BREAKPOINT MIC BY VITEK,PURE CULTURE,PURE & MODERATE FRESHLY SUB-CULTURED ISOLATE WITH OBSERVABLE GROWTH,STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC36,AEROBIC SUSCEPTIBILITY GRAM POSITIVE ORGANISM,1400,BREAKPOINT MIC BY VITEK,PURE CULTURE,PURE & MODERATE FRESHLY SUB-CULTURED ISOLATE WITH OBSERVABLE GROWTH,STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC37,AFB ANTIBIOTIC- FIRST LINE DRUG SUSCEPTIBILITY TEST,6300,AUTOMATED FLUORESCENT,PURE CULTURE,2ML PURE CULTURE IN STERILE CONTAINER,STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,24 DAYS,,,,,,,,,,,,,,
APC38,"AFB DRUG SENSITIVITY: MIC TEST FOR RAPID GROWING NON-TUBERCULOUS
MYCOBACTERIA (NTM)",12000,MICRO BROTH DILUTION,PURE CULTURE,PURE & FRESHLY SUBCULTURED ISOLATE OF RAPIDLY GROWING NTM,STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC39,"AFB SECOND LINE DRUG- GENOTYPIC ASSAY (NOT
APPLICABLE FOR MOTT)",7200,PCR - REVERSE PROBE HYBRIDIZATION,"SPUTUM / BAL
/MTB CULTURE","5ML SPUTUM/BAL/ MTB CULTURE (SPECIMENS OF PATIENTS WITH AFB SMEAR LESS THAN 1+ ARE NOT
ACCEPTABLE)",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),SAT,7 DAYS,,,,,,,,,,,,,,
APC40,AFB SPECIATION,3900,PCR - SEQUENCING,"SPUTUM / BAL
/MTB CULTURE","5ML SPUTUM/BAL/ MTB CULTURE (SPECIMENS OF PATIENTS WITH AFB SMEAR LESS THAN 1+ ARE NOT
ACCEPTABLE) + CLINICAL HISTORY",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),SAT,8 DAYS,,,,,,,,,,,,,,
APC41,AFB SUSCEPTIBILITY  : ETHIONAMIDE,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC42,"AFB SUSCEPTIBILITY, BACTEC: 10 DRUG PANEL",12000,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
